,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
0,50.0,1.0,0.0,0.0,4.296551963836202
1,52.5,1.0,0.0,0.0,4.600657447342467
2,55.0,1.0,0.0,0.0,4.971407562021915
3,57.5,1.0,0.0,0.0,5.352246450209923
4,60.0,1.0,0.0,0.0,5.7939159572036605
5,62.5,1.0,0.0,0.0,6.281988351987419
6,65.0,1.0,0.0,0.0,6.753184824564576
7,67.5,1.0,0.0,0.0,7.153233675762148
8,70.0,1.0,0.0,0.0,7.4948834030097
9,50.0,0.99,0.0,0.01,3.94485304443371
10,52.5,0.99,0.0,0.01,4.237303193795637
11,55.0,0.99,0.0,0.01,4.597170477403541
12,57.5,0.99,0.0,0.01,4.969072800226426
13,60.0,0.99,0.0,0.01,5.401024232093572
14,62.5,0.99,0.0,0.01,5.878557366253645
15,65.0,0.99,0.0,0.01,6.344251148187538
16,67.5,0.99,0.0,0.01,6.743344493968425
17,70.0,0.99,0.0,0.01,7.079375386813364
18,50.0,0.98,0.0,0.02,3.6334412668563645
19,52.5,0.98,0.0,0.02,3.915571201614401
20,55.0,0.98,0.0,0.02,4.265802283397218
21,57.5,0.98,0.0,0.02,4.629791725195315
22,60.0,0.98,0.0,0.02,5.053138288287271
23,62.5,0.98,0.0,0.02,5.521339435045362
24,65.0,0.98,0.0,0.02,5.982160860028053
25,67.5,0.98,0.0,0.02,6.380408153620932
26,70.0,0.98,0.0,0.02,6.711463850033083
27,50.0,0.97,0.0,0.03,3.3557692871128024
28,52.5,0.97,0.0,0.03,3.628697147232938
29,55.0,0.97,0.0,0.03,3.970336058036064
30,57.5,0.97,0.0,0.03,4.327269937078317
31,60.0,0.97,0.0,0.03,4.742943922829738
32,62.5,0.97,0.0,0.03,5.2028241530284145
33,65.0,0.97,0.0,0.03,5.659301114833842
34,67.5,0.97,0.0,0.03,6.056794021460793
35,70.0,0.97,0.0,0.03,6.383413557320905
36,50.0,0.96,0.0,0.04,3.106635593638449
37,52.5,0.96,0.0,0.04,3.3713071405205293
38,55.0,0.96,0.0,0.04,3.705236957690616
39,57.5,0.96,0.0,0.04,4.055840423377625
40,60.0,0.96,0.0,0.04,4.464630396082117
41,62.5,0.96,0.0,0.04,4.917044908359077
42,65.0,0.96,0.0,0.04,5.369623917772816
43,67.5,0.96,0.0,0.04,5.766439971044673
44,70.0,0.96,0.0,0.04,6.089079281517404
45,50.0,0.95,0.0,0.05,2.881855607492207
46,52.5,0.95,0.0,0.05,3.1390779252099392
47,55.0,0.95,0.0,0.05,3.4660522401519254
48,57.5,0.95,0.0,0.05,3.81094411297326
49,60.0,0.95,0.0,0.05,4.213523009465112
50,62.5,0.95,0.0,0.05,4.659201604381158
51,65.0,0.95,0.0,0.05,5.1082637001556845
52,67.5,0.95,0.0,0.05,5.504469064902602
53,70.0,0.95,0.0,0.05,5.823517231218988
54,50.0,0.94,0.0,0.06,2.6780247412945832
55,52.5,0.94,0.0,0.06,2.9284920855863796
56,55.0,0.94,0.0,0.06,3.2491591395116615
57,57.5,0.94,0.0,0.06,3.5888717303997555
58,60.0,0.94,0.0,0.06,3.985818412626568
59,62.5,0.94,0.0,0.06,4.42538886644964
60,65.0,0.94,0.0,0.06,4.871261819072504
61,67.5,0.94,0.0,0.06,5.266913410446795
62,70.0,0.94,0.0,0.06,5.5827051212550405
63,50.0,0.9299999999999999,0.0,0.07,2.492344756070898
64,52.5,0.9299999999999999,0.0,0.07,2.7366586487815097
65,55.0,0.9299999999999999,0.0,0.07,3.0515800953105696
66,57.5,0.9299999999999999,0.0,0.07,3.386574612774472
67,60.0,0.9299999999999999,0.0,0.07,3.7783906222970542
68,62.5,0.9299999999999999,0.0,0.07,4.2123968572700505
69,65.0,0.9299999999999999,0.0,0.07,4.655364655907601
70,67.5,0.9299999999999999,0.0,0.07,5.050511786728174
71,70.0,0.9299999999999999,0.0,0.07,5.363337025274771
72,50.0,0.92,0.0,0.08,2.3224945288450307
73,52.5,0.92,0.0,0.08,2.561179569592813
74,55.0,0.92,0.0,0.08,2.8708452384427026
75,57.5,0.92,0.0,0.08,3.201523911944231
76,60.0,0.92,0.0,0.08,3.5886466535112147
77,62.5,0.92,0.0,0.08,4.0175630354509435
78,65.0,0.92,0.0,0.08,4.457873352917681
79,67.5,0.92,0.0,0.08,4.85255902991175
80,70.0,0.92,0.0,0.08,5.162670696572324
81,50.0,0.91,0.0,0.09,2.1665325212455513
82,52.5,0.91,0.0,0.09,2.400048966890774
83,55.0,0.91,0.0,0.09,2.704888609589754
84,57.5,0.91,0.0,0.09,3.0316043346758366
85,60.0,0.91,0.0,0.09,3.4144175648307797
86,62.5,0.91,0.0,0.09,3.8386602780306562
87,65.0,0.91,0.0,0.09,4.276530409779925
88,67.5,0.91,0.0,0.09,4.670792364849336
89,70.0,0.91,0.0,0.09,4.978412341471976
90,50.0,0.9,0.0,0.1,2.0228222330800674
91,52.5,0.9,0.0,0.1,2.251576106717964
92,55.0,0.9,0.0,0.1,2.551968835585038
93,57.5,0.9,0.0,0.1,2.8750329248173125
