,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
0,10.0,1.0,0.0,0.0,2.0410123149745414
1,20.0,1.0,0.0,0.0,2.203202861483753
2,30.0,1.0,0.0,0.0,2.4347315120331503
3,40.0,1.0,0.0,0.0,3.2084236255316743
4,50.0,1.0,0.0,0.0,4.296551963836202
5,60.0,1.0,0.0,0.0,5.7939159572036605
6,70.0,1.0,0.0,0.0,7.4948834030097
7,80.0,1.0,0.0,0.0,8.618720687906649
8,90.0,1.0,0.0,0.0,9.13481224706668
9,10.0,0.99,0.0,0.01,1.7880277838892382
10,20.0,0.99,0.0,0.01,1.9561510539646745
11,30.0,0.99,0.0,0.01,2.183740155957965
12,40.0,0.99,0.0,0.01,2.9117571576970187
13,50.0,0.99,0.0,0.01,3.94485304443371
14,60.0,0.99,0.0,0.01,5.401024232093572
15,70.0,0.99,0.0,0.01,7.079375386813364
16,80.0,0.99,0.0,0.01,8.178980137389505
17,90.0,0.99,0.0,0.01,8.676167915162424
18,10.0,0.98,0.0,0.02,1.5640226528564418
19,20.0,0.98,0.0,0.02,1.7373990524972902
20,30.0,0.98,0.0,0.02,1.9614998815644678
21,40.0,0.98,0.0,0.02,2.649073859571174
22,50.0,0.98,0.0,0.02,3.6334412668563645
23,60.0,0.98,0.0,0.02,5.0531382882872915
24,70.0,0.98,0.0,0.02,6.711463850033083
25,80.0,0.98,0.0,0.02,7.789611905203684
26,90.0,0.98,0.0,0.02,8.27006133139256
27,10.0,0.97,0.0,0.03,1.3642872777512973
28,20.0,0.97,0.0,0.03,1.5423476585106906
29,30.0,0.97,0.0,0.03,1.7633381503362533
30,40.0,0.97,0.0,0.03,2.414850889574275
31,50.0,0.97,0.0,0.03,3.355769287112822
32,60.0,0.97,0.0,0.03,4.742943922829758
33,70.0,0.97,0.0,0.03,6.383413557320944
34,80.0,0.97,0.0,0.03,7.442429635087412
35,90.0,0.97,0.0,0.03,7.907954220417148
36,10.0,0.96,0.0,0.04,1.1850801004069897
37,20.0,0.96,0.0,0.04,1.3673430568720606
38,30.0,0.96,0.0,0.04,1.5855428825106532
39,40.0,0.96,0.0,0.04,2.2047006480347267
40,50.0,0.96,0.0,0.04,3.106635593638449
41,60.0,0.96,0.0,0.04,4.464630396082117
42,70.0,0.96,0.0,0.04,6.089079281517404
43,80.0,0.96,0.0,0.04,7.130929708653374
44,90.0,0.96,0.0,0.04,7.583063383127822
45,10.0,0.95,0.0,0.05,1.0233910639744104
46,20.0,0.95,0.0,0.05,1.2094457793772688
47,30.0,0.95,0.0,0.05,1.4251277364042851
48,40.0,0.95,0.0,0.05,2.0150933423221957
49,50.0,0.95,0.0,0.05,2.881855607492207
50,60.0,0.95,0.0,0.05,4.213523009465112
51,70.0,0.95,0.0,0.05,5.823517231218988
52,80.0,0.95,0.0,0.05,6.849880011312541
53,90.0,0.95,0.0,0.05,7.289931784240218
54,10.0,0.94,0.0,0.06,0.876771176164354
55,20.0,0.94,0.0,0.06,1.0662642648935692
56,30.0,0.94,0.0,0.06,1.2796630144659067
57,40.0,0.94,0.0,0.06,1.843157121382852
58,50.0,0.94,0.0,0.06,2.6780247412945832
59,60.0,0.94,0.0,0.06,3.985818412626568
60,70.0,0.94,0.0,0.06,5.5827051212550405
61,80.0,0.94,0.0,0.06,6.595023677188991
62,90.0,0.94,0.0,0.06,7.024119561650783
63,10.0,0.9299999999999999,0.0,0.07,0.7432076040227547
64,20.0,0.9299999999999999,0.0,0.07,0.9358328832801314
65,30.0,0.9299999999999999,0.0,0.07,1.1471517421353483
66,40.0,0.9299999999999999,0.0,0.07,1.6865316035750473
67,50.0,0.9299999999999999,0.0,0.07,2.492344756070882
68,60.0,0.9299999999999999,0.0,0.07,3.7783906222970542
69,70.0,0.9299999999999999,0.0,0.07,5.363337025274771
70,80.0,0.9299999999999999,0.0,0.07,6.362861977457274
71,90.0,0.9299999999999999,0.0,0.07,6.781977581471785
72,10.0,0.92,0.0,0.08,0.6210307143056484
73,20.0,0.92,0.0,0.08,0.8165211557520416
74,30.0,0.92,0.0,0.08,1.025937440614317
75,40.0,0.92,0.0,0.08,1.5432588660368853
