lmaxes,slc_means,slc_stds,ssh_means,ssh_stds,variance_ratios,mean_errors,standardized_errors,w2_distances,kl_divergences
30,0.007800272936378484,5.776401991397325e-06,-0.008629457003621388,9.970170952334436e-06,2.9791364271276564,-0.016429729939999874,-1425.8656316086162,0.01642973047523989,1357768.4487955016
40,0.0066129356025026575,8.04779251509168e-06,-0.005375560170910872,6.4375103495783015e-06,0.6398561350932302,-0.01198849577341353,-1163.2821094287037,0.011988495881559234,1734057.6322848736
50,0.0060108416207901435,6.909206887937013e-06,-0.004126224899528378,4.833869127511364e-06,0.4894782307833848,-0.010137066520318521,-1202.1731361237412,0.010137066732758025,2198896.8306954238
64,0.00522750295902035,6.860658333045943e-06,-0.003701290109537368,4.182902978827176e-06,0.37172690820355,-0.00892879306855772,-1111.2023146915774,0.008928793470088672,2278242.789002718
80,0.003948783497947389,5.721505984128653e-06,-0.0031427135932424813,3.5013083497939023e-06,0.3744898108971666,-0.00709149709118987,-1057.1991619821372,0.007091497438738304,2051092.3575621059
100,0.003384767928411625,5.2124328443529065e-06,-0.0024614685678723256,2.8184719419574386e-06,0.2923792085395554,-0.005846236496283951,-986.5995790042233,0.00584623698643249,2151272.633466962
128,0.0026118897486648055,4.675223507223358e-06,-0.0020569656632794414,2.3266276168766347e-06,0.24765608420735646,-0.004668855411944247,-894.0475189795063,0.004668856002656726,2013433.4203505858
160,0.0021278947398128134,3.7124086120879687e-06,-0.0016404265723871697,1.839051498123083e-06,0.2454009493852835,-0.003768321312199983,-909.5729972191089,0.003768321777853834,2099318.092473049
200,0.0017128631908473666,3.4673199491531165e-06,-0.0012837065024702869,1.4325511417075105e-06,0.1706995725613832,-0.0029965696933176534,-798.7442313566662,0.0029965703841548516,2187755.6118012415
256,0.0014141339665672847,2.5936258295357763e-06,-0.0010324751148487461,1.165678922647879e-06,0.2019962199634464,-0.002446609081416031,-860.410516306355,0.0024466094981217914,2202629.8241712037
320,0.00113538982530371,1.6056725377783544e-06,-0.0008361988328985793,9.306645944859457e-07,0.3359482826375992,-0.0019715886582022894,-1062.342383527208,0.0019715887737526876,2243966.287092716
400,0.0009154932501309258,1.7749969940301072e-06,-0.0006599546476698932,7.369305344909864e-07,0.17236848309176248,-0.0015754478978008192,-819.7366559614995,0.001575448239793042,2285205.6023800923
512,0.0007423302212035455,1.7421817453062979e-06,-0.0005289301677874458,5.907867337679156e-07,0.11499383332435283,-0.0012712603889909913,-691.0426044419452,0.0012712609104066715,2315144.401873613
