lmax,mean,std
30,0.007800272936378442,9.066711648716528e-13
40,0.006612935602502616,1.263191416589503e-12
50,0.00601084162079013,1.084477615435059e-12
64,0.005227502959020434,1.0768573745168298e-12
80,0.003948783497947292,8.980546200170078e-13
100,0.003384767928411675,8.181498735440284e-13
128,0.0026118897486647227,7.33828834913856e-13
160,0.0021278947398128216,5.827042241561773e-13
200,0.0017128631908473072,5.442348060229797e-13
256,0.0014141339665671385,4.0709870184518833e-13
320,0.001135389825303934,2.5202833731800304e-13
400,0.0009154932501308193,2.7860571240412173e-13
512,0.0007423302212036133,2.73454991213909e-13
