true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,odt_standard_deviation_factor,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_error_amplitude_factor,altimetry_range
0.0,0.0004995441270888469,0.0,0.00048398245864741924,0.0,0.0006955453652978783,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,90
0.0,0.0004995441270888469,0.0,0.0004842331618273084,0.0,0.0006957198357975934,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,85
0.0,0.0004995441270888469,0.0,0.0004854366106138379,0.0,0.0006965579931586522,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,80
0.0,0.0004995441270888469,0.0,0.0004875075883508502,0.0,0.0006980028535820037,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,75
0.0,0.0004995441270888469,0.0,0.0004906171647476787,0.0,0.0007001782182087707,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,70
0.0,0.0004995441270888469,0.0,0.0004938610178677564,0.0,0.0007024550091488667,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,66
0.0,0.0004995441270888469,0.0,0.0004990052184239903,0.0,0.0007060811163905549,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,60
0.0,0.0004995441270888469,0.0,0.0005019407051704881,0.0,0.000708158743796901,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,55
0.0,0.0004995441270888469,0.0,0.0005036871211343046,0.0,0.0007093976676769678,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,50
0.0,0.0004995441270888469,0.0,0.00048398876346158196,0.0,0.0006955497524016735,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,90
0.0,0.0004995441270888469,0.0,0.0004842394746779736,0.0,0.000695724229666725,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,85
0.0,0.0004995441270888469,0.0,0.000485442951522659,0.0,0.0006965624122015117,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,80
0.0,0.0004995441270888469,0.0,0.00048751398912028635,0.0,0.0006980073240997781,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,75
0.0,0.0004995441270888421,0.0,0.0004906236515342231,0.0,0.0007001827635365842,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,70
0.0,0.0004995441270888469,0.0,0.000493867553652049,0.0,0.0007024596041476104,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,66
0.0,0.0004995441270888469,0.0,0.0004990119079107673,0.0,0.0007060858440343513,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,60
0.0,0.0004995441270888469,0.0,0.0005019476247146895,0.0,0.0007081636483650349,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,55
0.0,0.0004995441270888421,0.0,0.0005036943320467104,0.0,0.0007094027875931522,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,50
0.0,0.0004995441270888469,0.0,0.0004840518070865695,0.0,0.0006955936219178059,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,90
0.0,0.0004995441270888469,0.0,0.00048430259865881494,0.0,0.0006957681668319119,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,85
0.0,0.0004995441270888469,0.0,0.0004855063560560774,0.0,0.0006966066010883105,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,80
