load_radius,satellite_range,latitude,error
0.2,1.0,-90.0,
0.2,2.2,-90.0,
0.2,3.41,-90.0,
0.2,4.61,-90.0,
0.2,5.81,-90.0,
0.2,7.01,-90.0,
0.2,8.22,-90.0,
0.2,9.42,-90.0,
0.2,10.62,-90.0,
0.2,11.82,-90.0,
0.2,13.03,-90.0,
0.2,14.23,-90.0,
0.2,15.43,-90.0,
0.2,16.64,-90.0,
0.2,17.84,-90.0,
0.2,19.04,-90.0,
0.2,20.24,-90.0,
0.2,21.45,-90.0,
0.2,22.65,-90.0,
0.2,23.85,-90.0,
0.2,25.05,-90.0,
0.2,26.26,-90.0,
0.2,27.46,-90.0,
0.2,28.66,-90.0,
0.2,29.86,-90.0,
0.2,31.07,-90.0,
0.2,32.27,-90.0,
0.2,33.47,-90.0,
0.2,34.68,-90.0,
0.2,35.88,-90.0,
0.2,37.08,-90.0,
0.2,38.28,-90.0,
0.2,39.49,-90.0,
0.2,40.69,-90.0,
0.2,41.89,-90.0,
0.2,43.09,-90.0,
0.2,44.3,-90.0,
0.2,45.5,-90.0,
0.2,46.7,-90.0,
0.2,47.91,-90.0,
0.2,49.11,-90.0,
0.2,50.31,-90.0,
0.2,51.51,-90.0,
0.2,52.72,-90.0,
0.2,53.92,-90.0,
0.2,55.12,-90.0,
0.2,56.32,-90.0,
0.2,57.53,-90.0,
0.2,58.73,-90.0,
0.2,59.93,-90.0,
0.2,61.14,-90.0,
0.2,62.34,-90.0,
0.2,63.54,-90.0,
0.2,64.74,-90.0,
0.2,65.95,-90.0,
0.2,67.15,-90.0,
0.2,68.35,-90.0,
0.2,69.55,-90.0,
0.2,70.76,-90.0,
0.2,71.96,-90.0,
0.2,73.16,-90.0,
0.2,74.36,-90.0,
0.2,75.57,-90.0,
0.2,76.77,-90.0,
0.2,77.97,-90.0,
0.2,79.18,-90.0,
0.2,80.38,-90.0,
0.2,81.58,-90.0,
0.2,82.78,-90.0,
0.2,83.99,-90.0,
0.2,85.19,-90.0,
0.2,86.39,-90.0,
0.2,87.59,-90.0,
0.2,88.8,-90.0,
0.2,90.0,-90.0,
0.2,1.0,-87.57,0.3946718094341256
0.2,2.2,-87.57,0.4184354160097884
0.2,3.41,-87.57,0.4343503208158385
0.2,4.61,-87.57,0.423568323145809
0.2,5.81,-87.57,0.41891254563692876
0.2,7.01,-87.57,0.4091977388859646
0.2,8.22,-87.57,0.4012099647522036
0.2,9.42,-87.57,0.39930987441467586
0.2,10.62,-87.57,0.3945763829987116
0.2,11.82,-87.57,0.3889590737689866
0.2,13.03,-87.57,0.3707162198195813
0.2,14.23,-87.57,0.3610358498451355
0.2,15.43,-87.57,0.34805727149641963
0.2,16.64,-87.57,0.33158124162878605
0.2,17.84,-87.57,0.3217291561049764
