length_scale,satellite_range,error,true_mean,estimate,num_error
0.005,10.89,35660.45702427514,-1.4804092413959255e-15,-5.294011105527876e-13,-5.279207013113917e-13
0.005,1.0,35435.6937814535,-1.4804092413959255e-15,-5.260736947347948e-13,-5.245932854933988e-13
0.005,20.78,34015.71300219866,-1.4804092413959255e-15,-5.050521680526603e-13,-5.035717588112643e-13
0.005,30.67,31515.576509101284,-1.4804092413959255e-15,-4.680399163613348e-13,-4.665595071199388e-13
0.005,40.56,29981.616028076012,-1.4804092413959255e-15,-4.453310236408753e-13,-4.4385061439947934e-13
0.005,50.44,28124.318582117096,-1.4804092413959255e-15,-4.178354206106889e-13,-4.16355011369293e-13
0.005,60.33,25747.96019418366,-1.4804092413959255e-15,-3.826555914270351e-13,-3.8117518218563916e-13
0.005,80.11,23637.575385071326,-1.4804092413959255e-15,-3.5141325968392043e-13,-3.499328504425245e-13
0.005,90.0,23205.811715817923,-1.4804092413959255e-15,-3.4502139042330286e-13,-3.435409811819069e-13
0.005,70.22,22257.269863373516,-1.4804092413959255e-15,-3.3097908918120774e-13,-3.294986799398118e-13
0.005,50.44,2615.4298436010695,2.934267061945339e-14,7.967796349102001e-13,7.674369642907467e-13
0.005,60.33,2601.177642345986,2.934267061945339e-14,7.925976584398993e-13,7.632549878204459e-13
0.005,40.56,2478.4937590993054,2.934267061945339e-14,7.565989306756712e-13,7.272562600562178e-13
0.005,70.22,2353.790690283527,2.934267061945339e-14,7.200077199407071e-13,6.906650493212537e-13
0.005,30.67,2340.56473703269,2.934267061945339e-14,7.16126872042031e-13,6.867842014225776e-13
0.005,20.78,2265.677328885705,2.934267061945339e-14,6.941529065340155e-13,6.648102359145621e-13
0.005,10.89,2249.682053389579,2.934267061945339e-14,6.894594655305131e-13,6.601167949110597e-13
0.005,1.0,2221.384416069042,2.934267061945339e-14,6.811561830184605e-13,6.518135123990071e-13
0.005,60.33,1989.4255910119248,2.5618565957289835e-14,-4.840437412473032e-13,-5.096623072045931e-13
0.005,80.11,1968.2724786450353,2.934267061945339e-14,6.068863809216172e-13,5.775437103021637e-13
0.005,50.44,1888.8172493842592,2.5618565957289835e-14,-4.582693268888842e-13,-4.838878928461741e-13
0.005,90.0,1875.600393472529,2.934267061945339e-14,5.796939162132694e-13,5.50351245593816e-13
0.005,40.56,1660.4451684437165,2.5618565957289835e-14,-3.99763674705096e-13,-4.2538224066238583e-13
0.005,70.22,1494.0382840877392,2.5618565957289835e-14,-3.571326172788889e-13,-3.827511832361787e-13
0.005,60.33,1449.8572391835994,6.646756958080835e-14,1.0301524388575544e-12,9.63684869276746e-13
0.005,30.67,1437.4858250490283,2.5618565957289835e-14,-3.426446882595874e-13,-3.6826325421687725e-13
0.005,80.11,1402.7972300778504,2.5618565957289835e-14,-3.337579676772391e-13,-3.5937653363452896e-13
0.005,70.22,1369.773032435833,6.646756958080835e-14,9.769224130142444e-13,9.10454843433436e-13
0.005,90.0,1330.1751128143428,2.5618565957289835e-14,-3.15153222666507e-13,-3.4077178862379685e-13
0.005,1.0,1329.1759708700251,2.5618565957289835e-14,-3.148972568284951e-13,-3.4051582278578493e-13
0.005,50.44,1315.048082561617,6.646756958080835e-14,9.405480688785373e-13,8.740804992977289e-13
0.005,20.78,1309.7433745521491,2.5618565957289835e-14,-3.099189043235861e-13,-3.3553747028087595e-13
0.005,10.89,1273.033184607404,2.5618565957289835e-14,-3.005142800995452e-13,-3.2613284605683504e-13
0.005,80.11,1197.047627288488,6.646756958080835e-14,8.621160341641996e-13,7.956484645833913e-13
0.005,90.0,1191.6417788732845,6.646756958080835e-14,8.585228981073911e-13,7.920553285265827e-13
0.005,40.56,1128.8635870126595,6.646756958080835e-14,8.167957597508569e-13,7.503281901700486e-13
0.005,30.67,948.8099853564672,6.646756958080835e-14,6.971185067872757e-13,6.306509372064674e-13
0.005,20.78,836.3196909720332,6.646756958080835e-14,6.223489420956459e-13,5.558813725148376e-13
0.005,1.0,801.6180603032969,2.1598003618141495e-14,1.9473150128612323e-13,1.7313349766798173e-13
0.005,10.89,788.392277355476,6.646756958080835e-14,5.904927551017789e-13,5.240251855209706e-13
0.005,1.0,787.9175107043665,6.646756958080835e-14,5.901771892476063e-13,5.237096196667979e-13
0.1,90.0,778.2773498573397,2.981829530058663e-14,2.6188733373862794e-13,2.320690384380413e-13
0.1,70.22,770.5038320856513,2.981829530058663e-14,2.595694032542223e-13,2.2975110795363566e-13
0.1,60.33,769.7543530450017,2.981829530058663e-14,2.593459213806654e-13,2.2952762608007874e-13
0.1,80.11,754.6165201881465,2.981829530058663e-14,2.5483207767729907e-13,2.2501378237671244e-13
