,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
0,10.0,1.0,0.0,0.0,2.0410123149744837
1,10.0,0.9,0.0,0.1,0.4054700428308763
2,10.0,0.8,0.0,0.2,0.3076222308303491
3,10.0,0.7,0.0,0.30000000000000004,0.7069890682595243
4,10.0,0.6,0.0,0.4,0.9623351209469734
5,10.0,0.5,0.0,0.5,1.1396648067760373
6,10.0,0.3999999999999999,0.0,0.6000000000000001,1.269994598847735
7,10.0,0.29999999999999993,0.0,0.7000000000000001,1.369823481774693
8,10.0,0.19999999999999996,0.0,0.8,1.4487369468590954
9,10.0,0.09999999999999998,0.0,0.9,1.512684784046475
10,10.0,0.0,0.0,1.0,1.565555529177514
11,10.0,0.9,0.1,0.0,1.5887056971664895
12,10.0,0.81,0.1,0.09,0.21241206801206763
13,10.0,0.72,0.1,0.18,0.4193589952468139
14,10.0,0.63,0.1,0.27,0.7821026981434099
15,10.0,0.54,0.1,0.36,1.0174985545377018
16,10.0,0.45000000000000007,0.1,0.44999999999999996,1.1825944196811453
17,10.0,0.36,0.1,0.54,1.3047909471024572
18,10.0,0.27,0.1,0.63,1.3988862920092355
19,10.0,0.18000000000000005,0.1,0.72,1.473574324037507
20,10.0,0.09000000000000008,0.1,0.8099999999999999,1.5342979249339173
21,10.0,0.0,0.1,0.9,1.584638668329882
22,10.0,0.8,0.2,0.0,1.125151792512845
23,10.0,0.7200000000000001,0.2,0.08,0.0005090874289643688
24,10.0,0.64,0.2,0.16,0.5468225441778888
25,10.0,0.56,0.2,0.24,0.8694681590596808
26,10.0,0.48000000000000004,0.2,0.32,1.0824741154130613
27,10.0,0.4,0.2,0.4,1.2336097716335896
28,10.0,0.32000000000000006,0.2,0.48,1.3464131904203327
29,10.0,0.24,0.2,0.56,1.4338263428174916
30,10.0,0.16000000000000003,0.2,0.64,1.503554484588897
31,10.0,0.08000000000000007,0.2,0.72,1.560471504837899
32,10.0,0.0,0.2,0.8,1.607811020790479
33,10.0,0.7,0.30000000000000004,0.0,0.6499257981825186
34,10.0,0.63,0.30000000000000004,0.06999999999999999,0.23652517471300485
35,10.0,0.5599999999999999,0.30000000000000004,0.13999999999999999,0.6935083938180348
36,10.0,0.49,0.30000000000000004,0.20999999999999996,0.972349235691226
37,10.0,0.42,0.30000000000000004,0.27999999999999997,1.1601353475511085
38,10.0,0.35,0.30000000000000004,0.35,1.2952327699821349
39,10.0,0.28,0.30000000000000004,0.41999999999999993,1.3970882788293681
40,10.0,0.21000000000000002,0.30000000000000004,0.48999999999999994,1.4766269659410345
41,10.0,0.14,0.30000000000000004,0.5599999999999999,1.5404591745424672
42,10.0,0.07000000000000006,0.30000000000000004,0.6299999999999999,1.5928191653506234
43,10.0,0.0,0.30000000000000004,0.7,1.6365446909336179
44,10.0,0.6,0.4,0.0,0.16258124587253367
45,10.0,0.54,0.4,0.06,0.49960922436435157
46,10.0,0.48,0.4,0.12,0.8643866232029938
47,10.0,0.42,0.4,0.18,1.095281942889185
48,10.0,0.36,0.4,0.24,1.2545992245714865
49,10.0,0.3,0.4,0.3,1.3711557708501179
50,10.0,0.24,0.4,0.36,1.460130089844868
51,10.0,0.18,0.4,0.42,1.5302769907606173
52,10.0,0.12,0.4,0.48,1.5870006626832294
53,10.0,0.05999999999999994,0.4,0.54,1.6338176270216098
54,10.0,0.0,0.4,0.6,1.67311474145953
55,10.0,0.5,0.5,0.0,0.33735139723788093
56,10.0,0.45,0.5,0.05,0.7947010128859886
57,10.0,0.4,0.5,0.1,1.0655437519926618
58,10.0,0.35,0.5,0.15000000000000002,1.2446433869788849
59,10.0,0.3,0.5,0.2,1.371980298376057
60,10.0,0.25,0.5,0.25,1.4670097313075328
61,10.0,0.19999999999999996,0.5,0.30000000000000004,1.5406947222959146
62,10.0,0.14999999999999997,0.5,0.35000000000000003,1.5995004284845324
63,10.0,0.09999999999999998,0.5,0.4,1.6475204236790337
64,10.0,0.04999999999999999,0.5,0.45,1.6874727959157791
65,10.0,0.0,0.5,0.5,1.7212331008269766
66,10.0,0.3999999999999999,0.6000000000000001,0.0,0.8503662373633359
67,10.0,0.35999999999999993,0.6000000000000001,0.039999999999999994,1.128020152956037
68,10.0,0.31999999999999995,0.6000000000000001,0.07999999999999999,1.3062203159341739
69,10.0,0.2799999999999999,0.6000000000000001,0.11999999999999998,1.4302857362420829
70,10.0,0.23999999999999994,0.6000000000000001,0.15999999999999998,1.5216316637908458
71,10.0,0.19999999999999996,0.6000000000000001,0.19999999999999996,1.5916937112096288
72,10.0,0.15999999999999995,0.6000000000000001,0.23999999999999996,1.647134487943828
73,10.0,0.11999999999999994,0.6000000000000001,0.27999999999999997,1.6922294741039616
74,10.0,0.07999999999999996,0.6000000000000001,0.31999999999999995,1.729428590058451
75,10.0,0.03999999999999998,0.6000000000000001,0.35999999999999993,1.760715378917254
76,10.0,0.0,0.6000000000000001,0.3999999999999999,1.7873956071493748
77,10.0,0.29999999999999993,0.7000000000000001,0.0,1.3769835830111532
78,10.0,0.26999999999999996,0.7000000000000001,0.029999999999999992,1.5075092875174902
